Short description,sd_len,sd_word_count,Description,desc_len,desc_word_count,Language,Caller,Assignment group
unable to submit expense report as be lock by user,50,10,unable to submit expense report as be lock by user,50,10,English,pvbomqht smfkuhwi,0
titcket update on inplant,25,4,titcket update on inplant,25,4,English,fumkcsji sarmtlhy,0
i need to approve the new product request below,47,9,i need to approve the new product request below,47,9,English,uyrpdvoq mbzevtcx,21
ticket update on inplant,24,4,ticket update on inplant,24,4,English,fumkcsji sarmtlhy,0
changed desktop wallpaper,25,3,changed desktop wallpaper,25,3,English,aqdjcuhn lagfitkz,0
unable to open website,22,4,name xbdht yrjhd language browser microsoft internet explorer email email customer number summary benefit advisor will not run in browser,137,20,English,aqjdvexo lmedazjo,0
msd crm,7,2,assign crm and e license to nyrjkctu tbhkenlo use profile like qmglkaru qiwhfkdv,80,13,English,qmglkaru qiwhfkdv,22
sound,5,1,receive from email good afternoon i be have issue again with notebook in that i can not get any sound and can not participate in skype call,139,27,English,udetjzmn ayueswcm,0
need the username to submit the insurance,41,7,need the username to submit the insurance,41,7,English,kamtroxv oequfsky,0
query on external browser,25,4,query on external browser,25,4,English,crkdjbot qiztrxne,0
unable to access benefit and other app in hr tool one time,58,12,unable to access benefit and other app in hr tool one time access deny,70,14,English,batsxwnl ashkzvnr,2
unable to see the current course in ethic,41,8,unable to see the current course in ethic user would bdtryh,59,11,English,ajgnibkx zixmcjgu,23
user click on driver update manually and then after restart the machine s receivng a error,90,16,user click on driver update manually and then after restart the machine receive an error state pnp detect fatal error,117,20,English,nyscufdq wjtcsahz,0
erp sid account unlock,22,4,erp sid account unlock,22,4,English,mfeyouli ndobtzpw,0
windows password reset,22,3,windows password reset,22,3,English,gtxuamif pamxszek,0
telephone number update,23,3,telephone number update,23,3,English,ufpkvlyn bozthrie,0
insurance information,21,2,insurance information,21,2,English,gxvhauic zogmauli,0
please give chrtyad access to report tool ltaballotcsalesemp and map to thrdy tgyu team as an ae in the virtual table,117,21,please give chrtyad access to report tool ltaballotcsalesemp and map to thrdy tgyu team as an ae in the virtual table,117,21,English,icqleypr kneoblzd,2
loud noise gso,14,3,loud noise gso,14,3,English,rbozivdq gmlhrtvp,0
ess kiosk user password reset,29,5,ess kiosk user password reset,29,5,English,rbozivdq gmlhrtvp,0
network outage warehouse node company up vpn rtr be down am,59,11,what type of outage x network circuit power please specify what type of outage top cert site no yes no na when do start be schedule maintenance power no yes no na company power provider power schedule maintenance network no yes no na company maint yes no provider maint ticket do site have a backup circuit no yes no na backup circuit active no yes no na site contact notify phone email yes no na remote dial in yes no na equipment reset yes no na verify site work on backup circuit yes no na vendor ticket global telecom verizon telecom vendor telecom vendor notify gsc yes no na cert start yes no na additional diagnostic,623,116,English,jyoqwxhz clhxsoqy,8
aw ticket no comment add,24,5,receive from email hi i have uacyltoe hxgayczeed in sid and work now correctly the accounting document be generate automatically without any error i be approve the change cid email good,185,31,English,repyzajo lxfwopyq,18
erp sid account unlock,22,4,erp sid account unlock,22,4,English,woaiypxu dxslkbif,0
export shipment of grind mahcine to khdgd apac advance information,66,10,receive from email from hdytrkfiu send thursday october pm to email email email cc email email xjzcbgnp vfkwscao email email subject export shipment of grind mahcine to khdgd apac advance information be pushixepyfbga wtqdyoin for dispatch an grind machine to khdgd apac tomorrow this be just for advance information once everything be in place will seek support in area to help in clear this consignment tomorrow,412,66,English,rdfjsawg zpmxgdcw,0
please add work phone number to profile,39,7,contact phone,13,2,English,jondkicb yahtgpuv,0
add member to dl,16,4,add member to dl,16,4,English,msarjyhi fpxdbeno,0
java issue on uacyltoe hxgaycze laptop,38,6,java issue on uacyltoe hxgaycze laptop,38,6,English,akhdmgwt yhgpafqx,19
support for fa gstry arexjftu ohxdwngl,38,6,support for fa konnica arexjftu ohxdwngl,40,6,English,arexjftu ohxdwngl,24
problem with blue screen,24,4,hi happen again the pc hang for the umpteenth times and i will present only a blue screen with white writing what can do,120,24,English,vrfpyjwi nzhvgqiw,24
job pp eu tool netch ap fail in job scheduler at,48,11,receive from email job pp eu tool netch ap fail in job scheduler at,67,14,English,bpctwhsn kzqsbmtp,8
eu tool crash when confirmation be delete not able to remove scrap confirmation that have be rectify in erp,107,19,eu tool crash when confirmation be delete not able to remove scrap confirmation that have be rectify in erp,107,19,English,mlckvyfq aonlxvwb,25
enable bgdxitwu dhcopwxa active directory account,49,6,enable bgdxitwu dhcopwxa active directory account name fdgrty email email summary i need bgdxitwu dhcopwxa s active directory account enable,140,20,English,kcwqdeob jwtpkzub,2
sync email issue,16,3,sync email issue,16,3,English,wjkzgyxh pktcqbxu,0
internet explorer issue,23,3,user be have issue with internet explorer the page keep refreshing and end up with a dll error,94,18,English,pbrmgyzo hzoxdijn,3
call for ecwtrjnq jpecxuty,26,4,call for ecwtrjnq jpecxuty,26,4,English,olckhmvx pcqobjnd,0
blank call,10,2,blank call,10,2,English,rbozivdq gmlhrtvp,0
unable to view payslip,22,4,unable to view payslip,22,4,English,aqdjcuhn lagfitkz,0
customer not get order acknowledgement automatically,52,6,receive from email two customer account have not be get the order acknowledgement automatically like have be for the past year both be under the same top parent acct and should automatically be send acknowledgement to email since october th have not be get can someone look into this this be affect the customer pay the bill as use this acknowledgement as a receiver so can pay the bill senior sale engineer company inc email,425,75,English,kgqpwvzu rkexzwlh,13
production order lock,21,3,production order be lock by user gtxuamif pamxszek no one have be able to unlock can this order be unlock inspection lot be be process by gtxuamif pamxszek,155,28,English,aqgphjbc utjrsedy,14
i need access to finance section of hub,39,8,receive from email i could always get into the finance section and now i can t i need access please cid email bwfhtumx japznrvb regional controller email mailto email,166,29,English,bwfhtumx japznrvb,16
erp sid account unlock and password reset,41,7,erp sid account unlock and password reset,41,7,English,jfsmwpny klxsdqiw,0
i ve receive the message below can tell from whom the email mention be send,75,15,i ve receive the message below can tell from whom the email mention be send,75,15,English,xawlkiey demjqrfl,26
email address confirmation,26,3,email address confirmation,26,3,English,fyokahtw sidurjge,0
erp pi and msd crm connectivity issue serirtce certificate renewal,66,10,hi all have a connectivity issue between erp pi and msd crm due to certificate renewal on azure website and that certificate be not yet update on erp pi side issue change to datum record account sale area data partner function contact lead be not be process from erp pi to work with msd crm and vice versa in all environment prod qa and dev issue start time th oct pm troubleshoot step when tryhdty from customer master team report the issue that a prospect account create in erp didn t come into msd yet – erp pi team observe that the record be in still await acknowledgement status – which basically mean be not yet deliver receive by the target system upon some log analysis and try to identify the root cause between erp pi basis and msd team – s be observe that the issue have start in production environment since around pm est on th oct observe the same behavior with azure mfg tool and erp pi log of other non production environment as well can find error screenshot from erp pi system in the mail chain root cause appear that the certificate for azure webapps have be update on th sept as be near the expiration date th jan but the new certificate be not update on erp pi be not even aware of this change so when the production azure webapp company crm sp mfg toolt azurewebsites net get restart on th oct around pm – this connectivity appear to have be break next step need the azure webapp certificate chain to be send to erp basis team so that can update on erp pi system whom can i reach out to for receive the certificate detail do have an azure admin in house or do want to open a case with microsoft once certificate be receive maybe can first do this on qa system and then upon confirmation that work can apply to production and other environment,1763,333,English,kgytujhe bonhwzrx,14
printer problem issue information,33,4,please complete all require question below if not will be return back to the gsc requester to provide require information • gsc to review ticket if not able to resolve then please assign to appropriate group per printer problem assignment flowchart • printer name make model ex hq – wy hp kd • detailed description of the problem error say i need to download and install a software driver from the hostname computer to print to kd • type of document not print email – excel – word … etc word inwarehouse tool – delivery note – production order … etc • what system or application be use at time of the problem ex windows erp windows • if not print at all do respond to a ping command on the network and have a power cycle of the printer be complete not sure what this mean • if erp system which system ex sid sid hrp plm not erp • if s an erp printer problem can the erp output be reroute to another erp printer temporarily not erp what printer can be reroute too • if document be not print correctly please scan copy of the document and attach to the ticketing tool ticket,1072,206,English,dzjxrkae grqczsmx,3
